title,category,city,address,contact,description,price,source,source_url
"Little Foodie 小吃货","服务","Barcelona","C/ de Casanova, 52, 08011 Barcelona","632058288","平台代登记商家信息，商家待认领。服务范围：中餐，小吃。资料线索来自公开黄页 soufun.es，具体营业时间、联系方式和详细介绍请商家认领后补充。","面议","soufun.es","https://www.soufun.es/114_397.html"
"一品兰州牛肉面","服务","Barcelona","Carrer de Calàbria, 110, 08015 Barcelona","688508607","平台代登记商家信息，商家待认领。服务范围：兰州牛肉面，拉面。资料线索来自公开黄页 soufun.es，具体营业时间、联系方式和详细介绍请商家认领后补充。","面议","soufun.es","https://www.soufun.es/114_396.html"
"巴塞罗那El mo 肉夹馍","服务","Barcelona","Av. del Paral·lel, 142, 08015 Barcelona","682002825","平台代登记商家信息，商家待认领。服务范围：西安肉夹馍，酸辣粉，狼牙土豆。资料线索来自公开黄页 soufun.es，具体营业时间、联系方式和详细介绍请商家认领后补充。","面议","soufun.es","https://www.soufun.es/114_395.html"
"西班牙春秋旅游","服务","Barcelona","Rda. de Sant Pere, 54, LOCAL 3, 08010 Barcelona","931967112","平台代登记商家信息，商家待认领。服务范围：机票，地接。资料线索来自公开黄页 soufun.es，具体营业时间、联系方式和详细介绍请商家认领后补充。","面议","soufun.es","https://www.soufun.es/114_394.html"
"西班牙南方国际旅行社","服务","Barcelona","Carrer de Massenet, 31, 08922 Santa Coloma de Gramenet, Barcelona","933957907","平台代登记商家信息，商家待认领。服务范围：机票，地接。资料线索来自公开黄页 soufun.es，具体营业时间、联系方式和详细介绍请商家认领后补充。","面议","soufun.es","https://www.soufun.es/114_393.html"
"西班牙世界行旅行社","服务","Barcelona","C/ de Mallorca, 410, 08013 Barcelona","688098250","平台代登记商家信息，商家待认领。服务范围：机票，地接。资料线索来自公开黄页 soufun.es，具体营业时间、联系方式和详细介绍请商家认领后补充。","面议","soufun.es","https://www.soufun.es/114_392.html"
"嘉年华国际旅行社","服务","Barcelona","C/ de la Diputació, 113, 08015 Barcelona","934318548","平台代登记商家信息，商家待认领。服务范围：机票，地接。资料线索来自公开黄页 soufun.es，具体营业时间、联系方式和详细介绍请商家认领后补充。","面议","soufun.es","https://www.soufun.es/114_391.html"
"巴塞罗那华风旅行社","服务","Barcelona","C/ de Casp, 89, 08013 Barcelona","933424796","平台代登记商家信息，商家待认领。服务范围：机票，地接。资料线索来自公开黄页 soufun.es，具体营业时间、联系方式和详细介绍请商家认领后补充。","面议","soufun.es","https://www.soufun.es/114_390.html"
"百合花旅行社","服务","Barcelona","C/ de Roger de Flor, 78, local-1, 08013 Barcelona","932455886","平台代登记商家信息，商家待认领。服务范围：机票，地接。资料线索来自公开黄页 soufun.es，具体营业时间、联系方式和详细介绍请商家认领后补充。","面议","soufun.es","https://www.soufun.es/114_389.html"
"北京青年旅行社","服务","Barcelona","Rda. de Sant Pere, 58, 08010 Barcelona","933157316","平台代登记商家信息，商家待认领。服务范围：机票，地接。资料线索来自公开黄页 soufun.es，具体营业时间、联系方式和详细介绍请商家认领后补充。","面议","soufun.es","https://www.soufun.es/114_388.html"
"巴塞罗那海天旅行社","服务","Barcelona","C. de Villarroel, 49, 08011 Barcelona","934120013","平台代登记商家信息，商家待认领。服务范围：机票，地接，特价机票。资料线索来自公开黄页 soufun.es，具体营业时间、联系方式和详细介绍请商家认领后补充。","面议","soufun.es","https://www.soufun.es/114_387.html"
"嘉诚律师事务所 巴塞罗那分部办公室","服务","Barcelona","Pg. Gràcia 54, 7ºC 08007, Barcelona","915003188","平台代登记商家信息，商家待认领。服务范围：税务管理 劳务事务 会计服务 商业事务 刑民法诉讼事务 外籍法事务 其他事务。资料线索来自公开黄页 soufun.es，具体营业时间、联系方式和详细介绍请商家认领后补充。","面议","soufun.es","https://www.soufun.es/114_385.html"
"百汇集团","生意","Barcelona","Carrer de Ramon Viñas, 62, 08930 Sant Adrià de Besòs, Barcelona","610893995","平台代登记商家信息，商家待认领。服务范围：各式日用百货批发!量大从优。资料线索来自公开黄页 soufun.es，具体营业时间、联系方式和详细介绍请商家认领后补充。","面议","soufun.es","https://www.soufun.es/114_384.html"
"巴塞罗那华人眼镜店","服务","Barcelona","VILLARROEL 69 BARCELONA 08011 地铁L1 URGELL站","935415728","平台代登记商家信息，商家待认领。服务范围：眼镜店。资料线索来自公开黄页 soufun.es，具体营业时间、联系方式和详细介绍请商家认领后补充。","面议","soufun.es","https://www.soufun.es/114_377.html"
"华艺装饰装修","服务","Barcelona","Casp 91","688565188","平台代登记商家信息，商家待认领。服务范围：装修，设计，。资料线索来自公开黄页 soufun.es，具体营业时间、联系方式和详细介绍请商家认领后补充。","面议","soufun.es","https://www.soufun.es/114_376.html"
"IONOS企业邮箱及域名服务","服务","Barcelona","","请商家认领后补充联系方式","平台代登记商家信息，商家待认领。服务范围：企业邮箱。资料线索来自公开黄页 soufun.es，具体营业时间、联系方式和详细介绍请商家认领后补充。","面议","soufun.es","https://www.soufun.es/114_375.html"
"西班牙SERED经济型虚拟主机-网站服务器-SEO主机租赁","服务","Barcelona","","请商家认领后补充联系方式","平台代登记商家信息，商家待认领。服务范围：西班牙虚拟主机,网站服务器,SSD虚拟主机,SEO主机,域名注册,VPS主机。资料线索来自公开黄页 soufun.es，具体营业时间、联系方式和详细介绍请商家认领后补充。","面议","soufun.es","https://www.soufun.es/114_372.html"
